name-pr,version,name,loc,bug
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.TestZooKeeperNodeTracker,79,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestQueryMatcher,22,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.HRegionServer,2073,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.JVMClusterUtil,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestBlocksRead,54,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.InfoServer,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.RowCounter,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.wal.HLog,859,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.AssignmentManager,1679,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler,140,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.TestLoadIncrementalHFiles,11,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestZKBasedOpenCloseRegion,121,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.TestReplication,299,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,1004,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.util.HBaseFsck,861,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.CacheTestUtils,72,no
hadoop,0.92RC0,org.apache.hadoop.hbase.HBaseTestingUtility,791,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.HBaseTestingUtility,791,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterFailover,390,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.CacheTestUtils,70,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.TestZooKeeperNodeTracker,75,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.HConnection,45,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestCatalogJanitor,116,no
hadoop,0.92RC0,org.apache.hadoop.hbase.mapreduce.Import,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.MockRegionServerServices,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestMasterObserver,352,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestHRegion,2190,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.TestAdmin,791,no
hadoop,0.92RC0,org.apache.hadoop.hbase.coprocessor.TestMasterObserver,352,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.HBaseFsck,857,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.HBaseFsck,857,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestHBaseFsck,22,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.compactions.CompactionRequest,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.EnableTableHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.ReplicationSource,421,no
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.ReplicationSource,418,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.replication.TestReplicationAdmin,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.replication.TestReplicationAdmin,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.TestReplicationSourceManager,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.io.hfile.slab.TestSlabCache,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.Store,1004,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.TestStore,309,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.filter.TestFilterList,19,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestMasterStatusServlet,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.CloseRegionHandler,0,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestCatalogJanitor,28,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.Mutation,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.HBaseFsck,781,no
hadoop,0.92RC0,org.apache.hadoop.hbase.TestKeyValue,139,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.monitoring.TestTaskMonitor,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.client.Scan,314,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.handler.TestOpenRegionHandler,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.handler.ServerShutdownHandler,111,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.FSUtils,535,no
hadoop,0.92RC0,org.apache.hadoop.hbase.util.TestHBaseFsck,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.master.TestSplitLogManager,152,no
hadoop,0.92RC0,org.apache.hadoop.hbase.regionserver.StoreFile,669,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.replication.regionserver.TestReplicationSourceManager,0,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKAssign,280,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKAssign,315,yes
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKAssign,280,no
hadoop,0.92RC0,org.apache.hadoop.hbase.zookeeper.ZKAssign,315,yes
